GO-ID	Term	Category	FDR	P-Value	#Test	#Ref	#notAnnotTest	#notAnnotRef	Over/Under	TestSeqs	RefSeqs
GO:0005833	hemoglobin complex	C	2.643727E-5	6.640027E-9	4	13	50	40417	OVER	mz.mrna.s81.10.1, mz.mrna.s81.11.1, mz.mrna.s81.10.5, mz.mrna.s81.10.4	mz.mrna.s81.10.3, mz.mrna.s28.29.1, mz.mrna.s81.10.2, mz.mrna.s28.36.1, mz.mrna.s28.35.2, mz.mrna.s28.34.1, mz.mrna.s28.35.1, mz.mrna.s28.34.2, mz.mrna.s28.32.1, mz.mrna.s28.33.1, mz.mrna.s28.280002.1, mz.mrna.s28.30.1, mz.mrna.s28.31.1	
GO:0005007	fibroblast growth factor-activated receptor activity	F	2.643727E-5	6.640027E-9	4	13	50	40417	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4	mz.mrna.s49.72.1, mz.mrna.s62.40.1, mz.mrna.s62.40.2, mz.mrna.s9.23.1, mz.mrna.s45.12.6, mz.mrna.s39.71.1, mz.mrna.s39.70.1, mz.mrna.s45.13.3, mz.mrna.s45.12.3, mz.mrna.s45.13.2, mz.mrna.s9.24.1, mz.mrna.s45.12.2, mz.mrna.s45.13.1	
GO:0008284	positive regulation of cell proliferation	P	1.149046E-4	7.548198E-8	4	26	50	40404	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4	mz.mrna.s128.6.3, mz.mrna.s7.268.2, mz.mrna.s7.268.1, mz.mrna.s99.45.1, mz.mrna.s360.5.1, mz.mrna.s62.40.2, mz.mrna.s2.35.8, mz.mrna.s39.70.1, mz.mrna.s34.53.1, mz.mrna.s34.53.2, mz.mrna.s14.198.1, mz.mrna.s14.198.2, mz.mrna.s14.198.3, mz.mrna.s14.198.4, mz.mrna.s16.194.1, mz.mrna.s100.70001.1, mz.mrna.s45.12.6, mz.mrna.s63.280002.2, mz.mrna.s63.280002.1, mz.mrna.s24.24.1, mz.mrna.s130.12.1, mz.mrna.s24.24.2, mz.mrna.s156.13.1, mz.mrna.s45.12.3, mz.mrna.s24.24.3, mz.mrna.s45.12.2	
GO:0019825	oxygen binding	F	1.149046E-4	8.65789E-8	4	27	50	40403	OVER	mz.mrna.s81.10.1, mz.mrna.s81.11.1, mz.mrna.s81.10.5, mz.mrna.s81.10.4	mz.mrna.s28.36.1, mz.mrna.s28.35.2, mz.mrna.s5.17.5, mz.mrna.s28.34.1, mz.mrna.s28.35.1, mz.mrna.s28.34.2, mz.mrna.s28.32.1, mz.mrna.s28.33.1, mz.mrna.s5.17.1, mz.mrna.s28.30.1, mz.mrna.s5.17.2, mz.mrna.s28.31.1, mz.mrna.s5.17.3, mz.mrna.s5.17.4, mz.mrna.s3.4810002.1, mz.mrna.s1.372.1, mz.mrna.s81.10.3, mz.mrna.s28.29.1, mz.mrna.s81.10.2, mz.mrna.s237.3.1, mz.mrna.s28.280002.1, mz.mrna.s3.401.1, mz.mrna.s68.30.1, mz.mrna.s135.44.2, mz.mrna.s135.44.1, mz.mrna.s135.44.4, mz.mrna.s135.44.3	
GO:0015671	oxygen transport	P	1.149046E-4	8.65789E-8	4	27	50	40403	OVER	mz.mrna.s81.10.1, mz.mrna.s81.11.1, mz.mrna.s81.10.5, mz.mrna.s81.10.4	mz.mrna.s28.36.1, mz.mrna.s28.35.2, mz.mrna.s5.17.5, mz.mrna.s28.34.1, mz.mrna.s28.35.1, mz.mrna.s28.34.2, mz.mrna.s28.32.1, mz.mrna.s28.33.1, mz.mrna.s5.17.1, mz.mrna.s28.30.1, mz.mrna.s5.17.2, mz.mrna.s28.31.1, mz.mrna.s5.17.3, mz.mrna.s5.17.4, mz.mrna.s3.4810002.1, mz.mrna.s1.372.1, mz.mrna.s81.10.3, mz.mrna.s28.29.1, mz.mrna.s81.10.2, mz.mrna.s237.3.1, mz.mrna.s28.280002.1, mz.mrna.s3.401.1, mz.mrna.s68.30.1, mz.mrna.s135.44.2, mz.mrna.s135.44.1, mz.mrna.s135.44.4, mz.mrna.s135.44.3	
GO:0015669	gas transport	P	1.149046E-4	8.65789E-8	4	27	50	40403	OVER	mz.mrna.s81.10.1, mz.mrna.s81.11.1, mz.mrna.s81.10.5, mz.mrna.s81.10.4	mz.mrna.s28.36.1, mz.mrna.s28.35.2, mz.mrna.s5.17.5, mz.mrna.s28.34.1, mz.mrna.s28.35.1, mz.mrna.s28.34.2, mz.mrna.s28.32.1, mz.mrna.s28.33.1, mz.mrna.s5.17.1, mz.mrna.s28.30.1, mz.mrna.s5.17.2, mz.mrna.s28.31.1, mz.mrna.s5.17.3, mz.mrna.s5.17.4, mz.mrna.s3.4810002.1, mz.mrna.s1.372.1, mz.mrna.s81.10.3, mz.mrna.s28.29.1, mz.mrna.s81.10.2, mz.mrna.s237.3.1, mz.mrna.s28.280002.1, mz.mrna.s3.401.1, mz.mrna.s68.30.1, mz.mrna.s135.44.2, mz.mrna.s135.44.1, mz.mrna.s135.44.4, mz.mrna.s135.44.3	
GO:0005869	dynactin complex	C	1.632474E-4	1.435052E-7	4	31	50	40399	OVER	mz.mrna.s45.9.4, mz.mrna.s45.9.1, mz.mrna.s45.9.2, mz.mrna.s45.9.3	mz.mrna.s209.15.9, mz.mrna.s97.14.1, mz.mrna.s97.14.2, mz.mrna.s97.14.3, mz.mrna.s3.13.1, mz.mrna.s3.13.2, mz.mrna.s3.13.5, mz.mrna.s3.13.6, mz.mrna.s15.169.4, mz.mrna.s3.13.3, mz.mrna.s15.169.3, mz.mrna.s3.13.12, mz.mrna.s3.13.4, mz.mrna.s15.169.2, mz.mrna.s3.13.9, mz.mrna.s15.169.1, mz.mrna.s3.13.10, mz.mrna.s3.13.11, mz.mrna.s3.13.7, mz.mrna.s3.13.8, mz.mrna.s209.15.3, mz.mrna.s4.98.1, mz.mrna.s209.15.4, mz.mrna.s4.98.2, mz.mrna.s209.15.1, mz.mrna.s209.15.2, mz.mrna.s209.15.7, mz.mrna.s209.15.8, mz.mrna.s209.15.5, mz.mrna.s37.96.1, mz.mrna.s209.15.6	
GO:0008543	fibroblast growth factor receptor signaling pathway	P	2.197107E-4	2.759144E-7	4	37	50	40393	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4	mz.mrna.s45.117.1, mz.mrna.s36.143.5, mz.mrna.s52.580001.1, mz.mrna.s121.23.1, mz.mrna.s49.72.1, mz.mrna.s360.5.1, mz.mrna.s62.40.2, mz.mrna.s152.9.1, mz.mrna.s360.6.1, mz.mrna.s22.209.1, mz.mrna.s345.9.1, mz.mrna.s258.12.1, mz.mrna.s0.187.1, mz.mrna.s7.271.2, mz.mrna.s17.114.1, mz.mrna.s7.271.1, mz.mrna.s39.70.1, mz.mrna.s11.27.1, mz.mrna.s104.34.1, mz.mrna.s87.55.1, mz.mrna.s104.34.2, mz.mrna.s1.222.1, mz.mrna.s6.160.3, mz.mrna.s6.160.4, mz.mrna.s6.160.1, mz.mrna.s6.160.2, mz.mrna.s22.90.1, mz.mrna.s284.60001.1, mz.mrna.s45.12.6, mz.mrna.s1.333.1, mz.mrna.s4.34.1, mz.mrna.s103.30.1, mz.mrna.s156.13.1, mz.mrna.s45.12.3, mz.mrna.s34.680002.1, mz.mrna.s45.12.2, mz.mrna.s45.13.1	
GO:0071774	response to fibroblast growth factor	P	2.197107E-4	2.759144E-7	4	37	50	40393	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4	mz.mrna.s45.117.1, mz.mrna.s36.143.5, mz.mrna.s52.580001.1, mz.mrna.s121.23.1, mz.mrna.s49.72.1, mz.mrna.s360.5.1, mz.mrna.s62.40.2, mz.mrna.s152.9.1, mz.mrna.s360.6.1, mz.mrna.s22.209.1, mz.mrna.s345.9.1, mz.mrna.s258.12.1, mz.mrna.s0.187.1, mz.mrna.s7.271.2, mz.mrna.s17.114.1, mz.mrna.s7.271.1, mz.mrna.s39.70.1, mz.mrna.s11.27.1, mz.mrna.s104.34.1, mz.mrna.s87.55.1, mz.mrna.s104.34.2, mz.mrna.s1.222.1, mz.mrna.s6.160.3, mz.mrna.s6.160.4, mz.mrna.s6.160.1, mz.mrna.s6.160.2, mz.mrna.s22.90.1, mz.mrna.s284.60001.1, mz.mrna.s45.12.6, mz.mrna.s1.333.1, mz.mrna.s4.34.1, mz.mrna.s103.30.1, mz.mrna.s156.13.1, mz.mrna.s45.12.3, mz.mrna.s34.680002.1, mz.mrna.s45.12.2, mz.mrna.s45.13.1	
GO:0044344	cellular response to fibroblast growth factor stimulus	P	2.197107E-4	2.759144E-7	4	37	50	40393	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4	mz.mrna.s45.117.1, mz.mrna.s36.143.5, mz.mrna.s52.580001.1, mz.mrna.s121.23.1, mz.mrna.s49.72.1, mz.mrna.s360.5.1, mz.mrna.s62.40.2, mz.mrna.s152.9.1, mz.mrna.s360.6.1, mz.mrna.s22.209.1, mz.mrna.s345.9.1, mz.mrna.s258.12.1, mz.mrna.s0.187.1, mz.mrna.s7.271.2, mz.mrna.s17.114.1, mz.mrna.s7.271.1, mz.mrna.s39.70.1, mz.mrna.s11.27.1, mz.mrna.s104.34.1, mz.mrna.s87.55.1, mz.mrna.s104.34.2, mz.mrna.s1.222.1, mz.mrna.s6.160.3, mz.mrna.s6.160.4, mz.mrna.s6.160.1, mz.mrna.s6.160.2, mz.mrna.s22.90.1, mz.mrna.s284.60001.1, mz.mrna.s45.12.6, mz.mrna.s1.333.1, mz.mrna.s4.34.1, mz.mrna.s103.30.1, mz.mrna.s156.13.1, mz.mrna.s45.12.3, mz.mrna.s34.680002.1, mz.mrna.s45.12.2, mz.mrna.s45.13.1	
